Created as New Dataset,11.4 Red Cormo sheep
cm-1,%T
4000.00,103.48
3999.00,103.48
3998.00,103.49
3997.00,103.49
3996.00,103.50
3995.00,103.50
3994.00,103.49
3993.00,103.48
3992.00,103.47
3991.00,103.47
3990.00,103.48
3989.00,103.49
3988.00,103.50
3987.00,103.50
3986.00,103.49
3985.00,103.47
3984.00,103.44
3983.00,103.42
3982.00,103.42
3981.00,103.43
3980.00,103.43
3979.00,103.44
3978.00,103.45
3977.00,103.47
3976.00,103.50
3975.00,103.53
3974.00,103.55
3973.00,103.56
3972.00,103.54
3971.00,103.52
3970.00,103.50
3969.00,103.49
3968.00,103.48
3967.00,103.48
3966.00,103.49
3965.00,103.50
3964.00,103.50
3963.00,103.50
3962.00,103.49
3961.00,103.49
3960.00,103.48
3959.00,103.48
3958.00,103.49
3957.00,103.49
3956.00,103.49
3955.00,103.49
3954.00,103.48
3953.00,103.49
3952.00,103.49
3951.00,103.51
3950.00,103.51
3949.00,103.52
3948.00,103.52
3947.00,103.51
3946.00,103.49
3945.00,103.47
3944.00,103.46
3943.00,103.48
3942.00,103.50
3941.00,103.51
3940.00,103.50
3939.00,103.49
3938.00,103.48
3937.00,103.49
3936.00,103.48
3935.00,103.47
3934.00,103.47
3933.00,103.48
3932.00,103.49
3931.00,103.50
3930.00,103.50
3929.00,103.51
3928.00,103.51
3927.00,103.50
3926.00,103.48
3925.00,103.47
3924.00,103.46
3923.00,103.45
3922.00,103.44
3921.00,103.45
3920.00,103.47
3919.00,103.48
3918.00,103.47
3917.00,103.45
3916.00,103.43
3915.00,103.42
3914.00,103.40
3913.00,103.40
3912.00,103.41
3911.00,103.44
3910.00,103.47
3909.00,103.49
3908.00,103.51
3907.00,103.52
3906.00,103.52
3905.00,103.52
3904.00,103.52
3903.00,103.48
3902.00,103.41
3901.00,103.33
3900.00,103.30
3899.00,103.33
3898.00,103.37
3897.00,103.40
3896.00,103.41
3895.00,103.40
3894.00,103.38
3893.00,103.34
3892.00,103.34
3891.00,103.39
3890.00,103.46
3889.00,103.47
3888.00,103.44
3887.00,103.42
3886.00,103.46
3885.00,103.51
3884.00,103.50
3883.00,103.42
3882.00,103.36
3881.00,103.37
3880.00,103.43
3879.00,103.48
3878.00,103.47
3877.00,103.42
3876.00,103.40
3875.00,103.44
3874.00,103.51
3873.00,103.52
3872.00,103.46
3871.00,103.41
3870.00,103.45
3869.00,103.51
3868.00,103.50
3867.00,103.43
3866.00,103.38
3865.00,103.40
3864.00,103.42
3863.00,103.42
3862.00,103.40
3861.00,103.40
3860.00,103.43
3859.00,103.48
3858.00,103.52
3857.00,103.54
3856.00,103.52
3855.00,103.49
3854.00,103.49
3853.00,103.50
3852.00,103.49
3851.00,103.44
3850.00,103.39
3849.00,103.38
3848.00,103.40
3847.00,103.42
3846.00,103.44
3845.00,103.45
3844.00,103.47
3843.00,103.49
3842.00,103.51
3841.00,103.49
3840.00,103.47
3839.00,103.44
3838.00,103.42
3837.00,103.40
3836.00,103.38
3835.00,103.35
3834.00,103.32
3833.00,103.32
3832.00,103.34
3831.00,103.39
3830.00,103.41
3829.00,103.40
3828.00,103.37
3827.00,103.38
3826.00,103.42
3825.00,103.44
3824.00,103.40
3823.00,103.34
3822.00,103.33
3821.00,103.39
3820.00,103.44
3819.00,103.41
3818.00,103.32
3817.00,103.30
3816.00,103.37
3815.00,103.45
3814.00,103.46
3813.00,103.42
3812.00,103.42
3811.00,103.45
3810.00,103.47
3809.00,103.44
3808.00,103.42
3807.00,103.47
3806.00,103.53
3805.00,103.52
3804.00,103.43
3803.00,103.33
3802.00,103.33
3801.00,103.40
3800.00,103.42
3799.00,103.35
3798.00,103.28
3797.00,103.27
3796.00,103.32
3795.00,103.36
3794.00,103.37
3793.00,103.37
3792.00,103.38
3791.00,103.40
3790.00,103.41
3789.00,103.42
3788.00,103.42
3787.00,103.40
3786.00,103.38
3785.00,103.38
3784.00,103.39
3783.00,103.40
3782.00,103.39
3781.00,103.39
3780.00,103.41
3779.00,103.42
3778.00,103.42
3777.00,103.38
3776.00,103.35
3775.00,103.35
3774.00,103.39
3773.00,103.41
3772.00,103.41
3771.00,103.41
3770.00,103.41
3769.00,103.40
3768.00,103.36
3767.00,103.31
3766.00,103.31
3765.00,103.35
3764.00,103.39
3763.00,103.38
3762.00,103.34
3761.00,103.33
3760.00,103.33
3759.00,103.33
3758.00,103.32
3757.00,103.34
3756.00,103.38
3755.00,103.42
3754.00,103.48
3753.00,103.53
3752.00,103.55
3751.00,103.51
3750.00,103.46
3749.00,103.45
3748.00,103.44
3747.00,103.38
3746.00,103.34
3745.00,103.40
3744.00,103.52
3743.00,103.55
3742.00,103.47
3741.00,103.39
3740.00,103.39
3739.00,103.45
3738.00,103.51
3737.00,103.55
3736.00,103.55
3735.00,103.49
3734.00,103.36
3733.00,103.26
3732.00,103.26
3731.00,103.31
3730.00,103.36
3729.00,103.38
3728.00,103.39
3727.00,103.42
3726.00,103.44
3725.00,103.40
3724.00,103.34
3723.00,103.29
3722.00,103.28
3721.00,103.28
3720.00,103.25
3719.00,103.22
3718.00,103.21
3717.00,103.24
3716.00,103.29
3715.00,103.33
3714.00,103.34
3713.00,103.34
3712.00,103.30
3711.00,103.24
3710.00,103.18
3709.00,103.18
3708.00,103.21
3707.00,103.27
3706.00,103.32
3705.00,103.34
