Created as New Dataset,12.1 Red Wool Corriedale sheep
cm-1,%T
4000.00,101.20
3999.00,101.22
3998.00,101.23
3997.00,101.23
3996.00,101.21
3995.00,101.17
3994.00,101.12
3993.00,101.09
3992.00,101.07
3991.00,101.08
3990.00,101.11
3989.00,101.14
3988.00,101.17
3987.00,101.20
3986.00,101.22
3985.00,101.23
3984.00,101.22
3983.00,101.20
3982.00,101.18
3981.00,101.18
3980.00,101.19
3979.00,101.22
3978.00,101.24
3977.00,101.26
3976.00,101.27
3975.00,101.26
3974.00,101.24
3973.00,101.22
3972.00,101.19
3971.00,101.17
3970.00,101.16
3969.00,101.16
3968.00,101.16
3967.00,101.16
3966.00,101.17
3965.00,101.17
3964.00,101.17
3963.00,101.17
3962.00,101.17
3961.00,101.18
3960.00,101.18
3959.00,101.17
3958.00,101.17
3957.00,101.19
3956.00,101.22
3955.00,101.25
3954.00,101.27
3953.00,101.28
3952.00,101.26
3951.00,101.23
3950.00,101.19
3949.00,101.16
3948.00,101.15
3947.00,101.15
3946.00,101.15
3945.00,101.16
3944.00,101.16
3943.00,101.17
3942.00,101.18
3941.00,101.18
3940.00,101.17
3939.00,101.17
3938.00,101.19
3937.00,101.20
3936.00,101.20
3935.00,101.18
3934.00,101.16
3933.00,101.14
3932.00,101.14
3931.00,101.14
3930.00,101.15
3929.00,101.16
3928.00,101.18
3927.00,101.18
3926.00,101.18
3925.00,101.19
3924.00,101.19
3923.00,101.17
3922.00,101.15
3921.00,101.13
3920.00,101.12
3919.00,101.11
3918.00,101.10
3917.00,101.11
3916.00,101.13
3915.00,101.14
3914.00,101.15
3913.00,101.15
3912.00,101.15
3911.00,101.16
3910.00,101.16
3909.00,101.16
3908.00,101.14
3907.00,101.11
3906.00,101.09
3905.00,101.08
3904.00,101.08
3903.00,101.06
3902.00,101.02
3901.00,100.97
3900.00,100.96
3899.00,100.98
3898.00,101.03
3897.00,101.08
3896.00,101.12
3895.00,101.15
3894.00,101.16
3893.00,101.15
3892.00,101.14
3891.00,101.14
3890.00,101.15
3889.00,101.12
3888.00,101.06
3887.00,101.02
3886.00,101.04
3885.00,101.08
3884.00,101.09
3883.00,101.06
3882.00,101.04
3881.00,101.07
3880.00,101.13
3879.00,101.17
3878.00,101.17
3877.00,101.14
3876.00,101.11
3875.00,101.10
3874.00,101.11
3873.00,101.08
3872.00,101.02
3871.00,100.99
3870.00,101.02
3869.00,101.06
3868.00,101.05
3867.00,101.00
3866.00,100.98
3865.00,101.03
3864.00,101.08
3863.00,101.10
3862.00,101.10
3861.00,101.10
3860.00,101.10
3859.00,101.11
3858.00,101.11
3857.00,101.09
3856.00,101.06
3855.00,101.04
3854.00,101.05
3853.00,101.05
3852.00,101.05
3851.00,101.03
3850.00,101.03
3849.00,101.04
3848.00,101.07
3847.00,101.08
3846.00,101.08
3845.00,101.07
3844.00,101.08
3843.00,101.10
3842.00,101.11
3841.00,101.10
3840.00,101.08
3839.00,101.07
3838.00,101.06
3837.00,101.05
3836.00,101.04
3835.00,101.03
3834.00,101.02
3833.00,101.01
3832.00,101.03
3831.00,101.06
3830.00,101.10
3829.00,101.11
3828.00,101.12
3827.00,101.14
3826.00,101.16
3825.00,101.15
3824.00,101.10
3823.00,101.03
3822.00,101.02
3821.00,101.06
3820.00,101.09
3819.00,101.07
3818.00,101.03
3817.00,101.03
3816.00,101.08
3815.00,101.12
3814.00,101.10
3813.00,101.06
3812.00,101.05
3811.00,101.07
3810.00,101.09
3809.00,101.08
3808.00,101.08
3807.00,101.10
3806.00,101.13
3805.00,101.10
3804.00,101.05
3803.00,101.02
3802.00,101.05
3801.00,101.10
3800.00,101.09
3799.00,101.03
3798.00,100.99
3797.00,101.02
3796.00,101.09
3795.00,101.13
3794.00,101.13
3793.00,101.11
3792.00,101.10
3791.00,101.10
3790.00,101.11
3789.00,101.12
3788.00,101.13
3787.00,101.12
3786.00,101.11
3785.00,101.10
3784.00,101.09
3783.00,101.08
3782.00,101.05
3781.00,101.04
3780.00,101.04
3779.00,101.05
3778.00,101.04
3777.00,101.01
3776.00,100.99
3775.00,100.99
3774.00,101.01
3773.00,101.02
3772.00,101.02
3771.00,101.03
3770.00,101.05
3769.00,101.06
3768.00,101.04
3767.00,101.02
3766.00,101.01
3765.00,101.04
3764.00,101.06
3763.00,101.06
3762.00,101.04
3761.00,101.04
3760.00,101.04
3759.00,101.03
3758.00,101.01
3757.00,101.01
3756.00,101.02
3755.00,101.01
3754.00,101.01
3753.00,101.00
3752.00,100.99
3751.00,100.96
3750.00,100.94
3749.00,100.96
3748.00,100.95
3747.00,100.87
3746.00,100.78
3745.00,100.79
3744.00,100.87
3743.00,100.92
3742.00,100.91
3741.00,100.88
3740.00,100.88
3739.00,100.90
3738.00,100.91
3737.00,100.93
3736.00,100.94
3735.00,100.91
3734.00,100.85
3733.00,100.80
3732.00,100.82
3731.00,100.87
3730.00,100.89
3729.00,100.88
3728.00,100.87
3727.00,100.87
3726.00,100.89
3725.00,100.89
3724.00,100.88
3723.00,100.88
3722.00,100.88
3721.00,100.89
3720.00,100.88
3719.00,100.88
3718.00,100.89
3717.00,100.91
3716.00,100.91
3715.00,100.90
3714.00,100.88
3713.00,100.87
3712.00,100.86
3711.00,100.85
3710.00,100.85
3709.00,100.86
3708.00,100.88
3707.00,100.91
3706.00,100.93
3705.00,100.92
3704.00,100.89
3703.00,100.86
3702.00,100.82
3701.00,100.80
3700.00,100.78
3699.00,100.77
3698.00,100.77
3697.00,100.79
3696.00,100.82
3695.00,100.84
3694.00,100.84
3693.00,100.85
3692.00,100.83
3691.00,100.78
3690.00,100.70
3689.00,100.63
3688.00,100.63
3687.00,100.65
3686.00,100.68
3685.00,100.69
3684.00,100.70
3683.00,100.69
3682.00,100.67
3681.00,100.65
3680.00,100.66
3679.00,100.68
3678.00,100.66
3677.00,100.62
3676.00,100.57
3675.00,100.54
3674.00,100.50
3673.00,100.42
3672.00,100.35
3671.00,100.34
3670.00,100.36
3669.00,100.37
3668.00,100.35
3667.00,100.34
3666.00,100.34
3665.00,100.36
3664.00,100.39
3663.00,100.40
3662.00,100.39
3661.00,100.36
3660.00,100.33
3659.00,100.28
3658.00,100.23
3657.00,100.22
3656.00,100.22
3655.00,100.21
3654.00,100.14
3653.00,100.04
3652.00,99.96
3651.00,99.93
3650.00,99.91
3649.00,99.87
3648.00,99.82
3647.00,99.79
3646.00,99.76
3645.00,99.74
3644.00,99.72
3643.00,99.71
3642.00,99.73
3641.00,99.74
3640.00,99.72
3639.00,99.69
3638.00,99.66
3637.00,99.63
3636.00,99.59
3635.00,99.57
3634.00,99.56
3633.00,99.53
3632.00,99.45
3631.00,99.35
3630.00,99.26
3629.00,99.21
3628.00,99.17
3627.00,99.12
3626.00,99.07
3625.00,99.04
3624.00,99.03
3623.00,99.02
3622.00,98.98
3621.00,98.91
3620.00,98.85
3619.00,98.81
3618.00,98.79
3617.00,98.75
3616.00,98.70
3615.00,98.64
3614.00,98.61
3613.00,98.61
3612.00,98.61
3611.00,98.58
3610.00,98.54
3609.00,98.51
3608.00,98.49
3607.00,98.46
3606.00,98.42
3605.00,98.39
3604.00,98.39
3603.00,98.38
3602.00,98.37
3601.00,98.34
3600.00,98.30
3599.00,98.24
3598.00,98.18
3597.00,98.12
3596.00,98.06
3595.00,98.01
3594.00,97.97
3593.00,97.93
3592.00,97.90
3591.00,97.86
3590.00,97.82
3589.00,97.78
3588.00,97.73
3587.00,97.68
3586.00,97.61
3585.00,97.55
3584.00,97.50
3583.00,97.47
3582.00,97.47
3581.00,97.47
3580.00,97.45
3579.00,97.42
3578.00,97.38
3577.00,97.33
3576.00,97.30
3575.00,97.26
3574.00,97.22
3573.00,97.17
3572.00,97.12
3571.00,97.05
3570.00,96.99
3569.00,96.93
3568.00,96.89
3567.00,96.87
3566.00,96.84
3565.00,96.81
3564.00,96.77
3563.00,96.73
3562.00,96.69
3561.00,96.66
3560.00,96.62
3559.00,96.57
3558.00,96.52
3557.00,96.47
3556.00,96.42
3555.00,96.40
3554.00,96.38
3553.00,96.36
3552.00,96.34
3551.00,96.29
3550.00,96.24
3549.00,96.18
3548.00,96.12
3547.00,96.06
3546.00,96.00
3545.00,95.94
3544.00,95.89
3543.00,95.86
3542.00,95.85
3541.00,95.83
3540.00,95.80
3539.00,95.75
3538.00,95.71
3537.00,95.66
3536.00,95.62
3535.00,95.58
3534.00,95.54
3533.00,95.50
3532.00,95.46
3531.00,95.42
3530.00,95.38
3529.00,95.33
3528.00,95.28
3527.00,95.24
3526.00,95.18
3525.00,95.12
3524.00,95.06
3523.00,95.02
3522.00,95.00
3521.00,94.99
3520.00,94.98
3519.00,94.96
3518.00,94.92
3517.00,94.87
3516.00,94.80
3515.00,94.74
3514.00,94.69
3513.00,94.66
3512.00,94.64
3511.00,94.64
3510.00,94.63
3509.00,94.60
3508.00,94.56
3507.00,94.52
3506.00,94.48
3505.00,94.44
3504.00,94.38
3503.00,94.31
3502.00,94.25
3501.00,94.20
3500.00,94.17
3499.00,94.15
3498.00,94.13
3497.00,94.11
3496.00,94.08
3495.00,94.05
3494.00,94.01
3493.00,93.96
3492.00,93.90
3491.00,93.85
3490.00,93.81
3489.00,93.78
3488.00,93.76
3487.00,93.76
3486.00,93.76
3485.00,93.76
3484.00,93.73
3483.00,93.69
3482.00,93.63
3481.00,93.58
3480.00,93.54
3479.00,93.51
3478.00,93.48
3477.00,93.43
3476.00,93.38
3475.00,93.33
3474.00,93.28
3473.00,93.24
3472.00,93.21
3471.00,93.19
3470.00,93.16
3469.00,93.13
3468.00,93.09
3467.00,93.06
3466.00,93.03
3465.00,93.00
3464.00,92.99
3463.00,92.96
3462.00,92.94
3461.00,92.92
3460.00,92.90
3459.00,92.88
3458.00,92.86
3457.00,92.83
3456.00,92.80
3455.00,92.76
3454.00,92.71
3453.00,92.66
3452.00,92.62
3451.00,92.59
3450.00,92.57
3449.00,92.55
3448.00,92.51
3447.00,92.47
3446.00,92.43
3445.00,92.40
3444.00,92.39
3443.00,92.39
3442.00,92.38
3441.00,92.34
3440.00,92.30
3439.00,92.24
3438.00,92.20
3437.00,92.16
3436.00,92.13
3435.00,92.10
3434.00,92.08
3433.00,92.06
3432.00,92.04
3431.00,92.02
3430.00,91.99
3429.00,91.97
3428.00,91.95
3427.00,91.92
3426.00,91.89
3425.00,91.84
3424.00,91.79
3423.00,91.74
3422.00,91.70
3421.00,91.66
3420.00,91.63
3419.00,91.59
3418.00,91.55
3417.00,91.53
3416.00,91.52
3415.00,91.52
3414.00,91.52
3413.00,91.50
3412.00,91.46
3411.00,91.41
3410.00,91.36
3409.00,91.33
3408.00,91.30
3407.00,91.29
3406.00,91.28
3405.00,91.25
3404.00,91.22
3403.00,91.18
3402.00,91.16
3401.00,91.14
3400.00,91.13
3399.00,91.12
3398.00,91.09
3397.00,91.04
3396.00,90.99
3395.00,90.96
3394.00,90.93
3393.00,90.92
3392.00,90.91
3391.00,90.89
3390.00,90.87
3389.00,90.85
3388.00,90.84
3387.00,90.85
3386.00,90.85
3385.00,90.84
3384.00,90.81
3383.00,90.78
3382.00,90.76
3381.00,90.74
3380.00,90.74
3379.00,90.73
3378.00,90.72
3377.00,90.70
3376.00,90.68
3375.00,90.65
3374.00,90.61
3373.00,90.57
3372.00,90.54
3371.00,90.52
3370.00,90.50
3369.00,90.48
3368.00,90.45
3367.00,90.41
3366.00,90.37
3365.00,90.34
3364.00,90.30
3363.00,90.27
3362.00,90.25
3361.00,90.24
3360.00,90.23
3359.00,90.22
3358.00,90.19
3357.00,90.16
3356.00,90.14
3355.00,90.12
3354.00,90.11
3353.00,90.10
3352.00,90.07
3351.00,90.05
3350.00,90.02
3349.00,90.01
3348.00,90.00
3347.00,89.99
3346.00,89.98
3345.00,89.96
3344.00,89.92
3343.00,89.88
3342.00,89.84
3341.00,89.82
3340.00,89.81
3339.00,89.81
3338.00,89.80
3337.00,89.77
3336.00,89.73
3335.00,89.68
3334.00,89.64
3333.00,89.62
3332.00,89.60
3331.00,89.58
3330.00,89.57
3329.00,89.54
3328.00,89.52
3327.00,89.49
3326.00,89.46
3325.00,89.43
3324.00,89.39
3323.00,89.36
3322.00,89.34
3321.00,89.33
3320.00,89.32
3319.00,89.30
3318.00,89.26
3317.00,89.22
3316.00,89.18
3315.00,89.15
3314.00,89.12
3313.00,89.09
3312.00,89.05
3311.00,89.01
3310.00,88.98
3309.00,88.97
3308.00,88.96
3307.00,88.94
3306.00,88.91
3305.00,88.88
3304.00,88.84
3303.00,88.81
3302.00,88.78
3301.00,88.76
3300.00,88.73
3299.00,88.70
3298.00,88.66
3297.00,88.62
3296.00,88.59
3295.00,88.58
3294.00,88.57
3293.00,88.56
3292.00,88.53
3291.00,88.50
3290.00,88.48
3289.00,88.47
3288.00,88.46
3287.00,88.44
3286.00,88.41
3285.00,88.38
3284.00,88.37
3283.00,88.38
3282.00,88.39
3281.00,88.39
3280.00,88.39
3279.00,88.39
3278.00,88.38
3277.00,88.36
3276.00,88.35
3275.00,88.34
3274.00,88.34
3273.00,88.35
3272.00,88.34
3271.00,88.34
3270.00,88.35
3269.00,88.36
3268.00,88.39
3267.00,88.42
3266.00,88.45
3265.00,88.48
3264.00,88.50
3263.00,88.52
3262.00,88.53
3261.00,88.55
3260.00,88.57
3259.00,88.60
3258.00,88.62
3257.00,88.65
3256.00,88.67
3255.00,88.71
3254.00,88.74
3253.00,88.76
3252.00,88.78
3251.00,88.81
3250.00,88.85
3249.00,88.90
3248.00,88.95
3247.00,89.00
3246.00,89.05
3245.00,89.09
3244.00,89.12
3243.00,89.15
3242.00,89.17
3241.00,89.19
3240.00,89.21
3239.00,89.23
3238.00,89.25
3237.00,89.27
3236.00,89.30
3235.00,89.33
3234.00,89.36
3233.00,89.39
3232.00,89.42
3231.00,89.45
3230.00,89.48
3229.00,89.53
3228.00,89.58
3227.00,89.63
3226.00,89.66
3225.00,89.69
3224.00,89.70
3223.00,89.71
3222.00,89.71
