Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
4000.00,102.36
3999.00,102.38
3998.00,102.38
3997.00,102.37
3996.00,102.35
3995.00,102.34
3994.00,102.33
3993.00,102.32
3992.00,102.32
3991.00,102.32
3990.00,102.32
3989.00,102.32
3988.00,102.31
3987.00,102.31
3986.00,102.31
3985.00,102.33
3984.00,102.33
3983.00,102.33
3982.00,102.31
3981.00,102.30
3980.00,102.29
3979.00,102.30
3978.00,102.32
3977.00,102.33
3976.00,102.32
3975.00,102.30
3974.00,102.26
3973.00,102.24
3972.00,102.24
3971.00,102.25
3970.00,102.26
3969.00,102.27
3968.00,102.26
3967.00,102.25
3966.00,102.25
3965.00,102.25
3964.00,102.26
3963.00,102.27
3962.00,102.27
3961.00,102.27
3960.00,102.27
3959.00,102.27
3958.00,102.27
3957.00,102.27
3956.00,102.26
3955.00,102.25
3954.00,102.25
3953.00,102.27
3952.00,102.29
3951.00,102.31
3950.00,102.32
3949.00,102.32
3948.00,102.32
3947.00,102.30
3946.00,102.29
3945.00,102.28
3944.00,102.28
3943.00,102.29
3942.00,102.31
3941.00,102.32
3940.00,102.32
3939.00,102.33
3938.00,102.35
3937.00,102.36
3936.00,102.35
3935.00,102.32
3934.00,102.30
3933.00,102.28
3932.00,102.27
3931.00,102.26
3930.00,102.25
3929.00,102.24
3928.00,102.24
3927.00,102.24
3926.00,102.25
3925.00,102.26
3924.00,102.27
3923.00,102.26
3922.00,102.25
3921.00,102.24
3920.00,102.24
3919.00,102.22
3918.00,102.19
3917.00,102.17
3916.00,102.18
3915.00,102.20
3914.00,102.22
3913.00,102.24
3912.00,102.26
3911.00,102.28
3910.00,102.29
3909.00,102.27
3908.00,102.24
3907.00,102.19
3906.00,102.14
3905.00,102.10
3904.00,102.08
3903.00,102.07
3902.00,102.04
3901.00,102.01
3900.00,102.00
3899.00,102.02
3898.00,102.06
3897.00,102.10
3896.00,102.13
3895.00,102.17
3894.00,102.19
3893.00,102.18
3892.00,102.16
3891.00,102.15
3890.00,102.14
3889.00,102.10
3888.00,102.04
3887.00,102.02
3886.00,102.07
3885.00,102.12
3884.00,102.11
3883.00,102.04
