Created as New Dataset,12.3 Red Wool Lincoln sheep
cm-1,%T
4000.00,102.75
3999.00,102.74
3998.00,102.73
3997.00,102.73
3996.00,102.75
3995.00,102.76
3994.00,102.77
3993.00,102.76
3992.00,102.74
3991.00,102.73
3990.00,102.74
3989.00,102.75
3988.00,102.76
3987.00,102.76
3986.00,102.75
3985.00,102.73
3984.00,102.72
3983.00,102.72
3982.00,102.73
3981.00,102.75
3980.00,102.77
3979.00,102.79
3978.00,102.79
3977.00,102.78
3976.00,102.77
3975.00,102.76
3974.00,102.77
3973.00,102.78
3972.00,102.79
3971.00,102.79
3970.00,102.78
3969.00,102.78
3968.00,102.79
3967.00,102.81
3966.00,102.81
3965.00,102.81
3964.00,102.80
3963.00,102.79
3962.00,102.79
3961.00,102.79
3960.00,102.80
3959.00,102.80
3958.00,102.80
3957.00,102.79
3956.00,102.77
3955.00,102.74
3954.00,102.72
3953.00,102.70
3952.00,102.69
3951.00,102.70
3950.00,102.70
3949.00,102.71
3948.00,102.71
3947.00,102.70
3946.00,102.67
3945.00,102.65
3944.00,102.65
3943.00,102.68
3942.00,102.71
3941.00,102.73
3940.00,102.73
3939.00,102.74
3938.00,102.77
3937.00,102.80
3936.00,102.80
3935.00,102.77
3934.00,102.74
3933.00,102.71
3932.00,102.69
3931.00,102.68
3930.00,102.67
3929.00,102.68
3928.00,102.69
3927.00,102.70
3926.00,102.71
3925.00,102.73
3924.00,102.74
3923.00,102.74
3922.00,102.74
3921.00,102.73
3920.00,102.71
3919.00,102.68
3918.00,102.64
3917.00,102.63
3916.00,102.64
3915.00,102.65
3914.00,102.65
3913.00,102.66
3912.00,102.69
3911.00,102.71
3910.00,102.71
3909.00,102.70
3908.00,102.68
3907.00,102.65
3906.00,102.63
3905.00,102.61
3904.00,102.59
3903.00,102.55
3902.00,102.50
3901.00,102.47
3900.00,102.49
3899.00,102.54
3898.00,102.60
3897.00,102.63
3896.00,102.66
3895.00,102.68
3894.00,102.69
3893.00,102.68
3892.00,102.66
3891.00,102.66
3890.00,102.66
3889.00,102.62
3888.00,102.56
3887.00,102.55
3886.00,102.61
3885.00,102.66
3884.00,102.63
3883.00,102.54
3882.00,102.46
3881.00,102.48
3880.00,102.55
3879.00,102.62
3878.00,102.62
3877.00,102.60
3876.00,102.59
3875.00,102.64
3874.00,102.69
3873.00,102.66
3872.00,102.57
3871.00,102.52
3870.00,102.57
3869.00,102.65
3868.00,102.64
3867.00,102.56
3866.00,102.50
