Created as New Dataset,12.3 Lincoln Sheep
cm-1,%T
4000.00,101.35
3999.00,101.35
3998.00,101.33
3997.00,101.32
3996.00,101.32
3995.00,101.33
3994.00,101.35
3993.00,101.36
3992.00,101.36
3991.00,101.34
3990.00,101.32
3989.00,101.30
3988.00,101.30
3987.00,101.29
3986.00,101.28
3985.00,101.27
3984.00,101.28
3983.00,101.29
3982.00,101.31
3981.00,101.32
3980.00,101.32
3979.00,101.31
3978.00,101.30
3977.00,101.30
3976.00,101.30
3975.00,101.31
3974.00,101.32
3973.00,101.32
3972.00,101.33
3971.00,101.33
3970.00,101.32
3969.00,101.31
3968.00,101.31
3967.00,101.32
3966.00,101.34
3965.00,101.36
3964.00,101.37
3963.00,101.37
3962.00,101.36
3961.00,101.36
3960.00,101.35
3959.00,101.34
3958.00,101.34
3957.00,101.33
3956.00,101.31
3955.00,101.30
3954.00,101.29
3953.00,101.29
3952.00,101.29
3951.00,101.29
3950.00,101.30
3949.00,101.31
3948.00,101.32
3947.00,101.32
3946.00,101.32
3945.00,101.33
3944.00,101.36
3943.00,101.39
3942.00,101.42
3941.00,101.42
3940.00,101.41
3939.00,101.39
3938.00,101.36
3937.00,101.34
3936.00,101.33
3935.00,101.32
3934.00,101.32
3933.00,101.31
3932.00,101.29
3931.00,101.26
3930.00,101.24
3929.00,101.24
3928.00,101.26
3927.00,101.27
3926.00,101.28
3925.00,101.28
3924.00,101.27
3923.00,101.26
3922.00,101.24
3921.00,101.23
3920.00,101.23
3919.00,101.25
3918.00,101.27
3917.00,101.29
3916.00,101.30
3915.00,101.29
3914.00,101.28
3913.00,101.27
3912.00,101.27
3911.00,101.28
3910.00,101.28
3909.00,101.27
3908.00,101.26
3907.00,101.26
3906.00,101.27
3905.00,101.27
3904.00,101.26
3903.00,101.23
3902.00,101.19
3901.00,101.17
3900.00,101.19
3899.00,101.22
3898.00,101.26
3897.00,101.28
3896.00,101.30
3895.00,101.30
3894.00,101.29
3893.00,101.29
3892.00,101.28
3891.00,101.27
3890.00,101.25
3889.00,101.23
3888.00,101.22
3887.00,101.23
3886.00,101.25
3885.00,101.24
3884.00,101.20
3883.00,101.17
3882.00,101.16
3881.00,101.17
3880.00,101.19
3879.00,101.19
3878.00,101.19
3877.00,101.20
3876.00,101.22
3875.00,101.24
3874.00,101.24
3873.00,101.22
3872.00,101.20
3871.00,101.21
3870.00,101.22
3869.00,101.21
3868.00,101.17
3867.00,101.15
3866.00,101.15
