Created as New Dataset,Bio-Couture Worsted 48/2 White
cm-1,%T
4000.00,100.73
3999.00,100.72
3998.00,100.72
3997.00,100.72
3996.00,100.73
3995.00,100.73
3994.00,100.73
3993.00,100.73
3992.00,100.72
3991.00,100.71
3990.00,100.70
3989.00,100.69
3988.00,100.68
3987.00,100.68
3986.00,100.68
3985.00,100.68
3984.00,100.69
3983.00,100.69
3982.00,100.69
3981.00,100.69
3980.00,100.69
3979.00,100.69
3978.00,100.68
3977.00,100.67
3976.00,100.67
3975.00,100.67
3974.00,100.67
3973.00,100.67
3972.00,100.67
3971.00,100.68
3970.00,100.68
3969.00,100.69
3968.00,100.69
3967.00,100.69
3966.00,100.69
3965.00,100.70
3964.00,100.70
3963.00,100.71
3962.00,100.71
3961.00,100.71
3960.00,100.70
3959.00,100.70
3958.00,100.70
3957.00,100.70
3956.00,100.70
3955.00,100.70
3954.00,100.69
3953.00,100.67
3952.00,100.66
3951.00,100.65
3950.00,100.65
3949.00,100.64
3948.00,100.64
3947.00,100.65
3946.00,100.65
3945.00,100.65
3944.00,100.66
3943.00,100.66
3942.00,100.67
3941.00,100.67
3940.00,100.67
3939.00,100.67
3938.00,100.66
3937.00,100.67
3936.00,100.67
3935.00,100.68
3934.00,100.69
3933.00,100.67
3932.00,100.65
3931.00,100.62
3930.00,100.61
3929.00,100.61
3928.00,100.62
3927.00,100.61
3926.00,100.60
3925.00,100.58
3924.00,100.57
3923.00,100.56
3922.00,100.56
3921.00,100.57
3920.00,100.57
3919.00,100.56
3918.00,100.56
3917.00,100.57
3916.00,100.59
3915.00,100.61
3914.00,100.63
3913.00,100.65
3912.00,100.65
3911.00,100.65
3910.00,100.64
3909.00,100.64
3908.00,100.64
3907.00,100.63
3906.00,100.62
3905.00,100.60
3904.00,100.59
3903.00,100.59
3902.00,100.59
3901.00,100.59
3900.00,100.59
3899.00,100.59
3898.00,100.59
3897.00,100.59
3896.00,100.59
3895.00,100.59
3894.00,100.60
3893.00,100.61
3892.00,100.62
3891.00,100.61
3890.00,100.61
3889.00,100.60
3888.00,100.61
3887.00,100.61
3886.00,100.59
3885.00,100.55
3884.00,100.51
3883.00,100.49
3882.00,100.50
3881.00,100.53
3880.00,100.56
3879.00,100.56
3878.00,100.55
3877.00,100.53
3876.00,100.52
3875.00,100.51
3874.00,100.49
3873.00,100.46
3872.00,100.45
3871.00,100.44
3870.00,100.46
3869.00,100.47
3868.00,100.49
3867.00,100.50
3866.00,100.52
3865.00,100.53
3864.00,100.54
3863.00,100.54
3862.00,100.55
3861.00,100.55
3860.00,100.55
3859.00,100.54
3858.00,100.53
3857.00,100.51
3856.00,100.48
3855.00,100.45
3854.00,100.43
3853.00,100.43
3852.00,100.45
3851.00,100.49
3850.00,100.53
3849.00,100.57
3848.00,100.60
3847.00,100.61
3846.00,100.60
3845.00,100.57
3844.00,100.51
3843.00,100.46
3842.00,100.42
3841.00,100.41
3840.00,100.41
3839.00,100.43
3838.00,100.46
3837.00,100.49
3836.00,100.53
3835.00,100.55
3834.00,100.55
3833.00,100.55
3832.00,100.54
3831.00,100.53
3830.00,100.54
3829.00,100.56
3828.00,100.56
3827.00,100.54
3826.00,100.50
3825.00,100.44
3824.00,100.40
3823.00,100.39
3822.00,100.39
3821.00,100.40
3820.00,100.38
3819.00,100.37
3818.00,100.39
3817.00,100.41
3816.00,100.44
3815.00,100.46
3814.00,100.49
3813.00,100.52
3812.00,100.53
3811.00,100.54
3810.00,100.53
3809.00,100.53
3808.00,100.52
3807.00,100.50
3806.00,100.46
3805.00,100.41
3804.00,100.38
3803.00,100.39
3802.00,100.42
3801.00,100.46
3800.00,100.48
3799.00,100.51
3798.00,100.53
3797.00,100.54
3796.00,100.56
3795.00,100.58
3794.00,100.59
3793.00,100.60
3792.00,100.59
3791.00,100.59
3790.00,100.58
3789.00,100.57
3788.00,100.55
3787.00,100.54
3786.00,100.52
3785.00,100.50
3784.00,100.50
3783.00,100.52
3782.00,100.55
3781.00,100.57
3780.00,100.58
3779.00,100.57
3778.00,100.55
3777.00,100.53
3776.00,100.51
3775.00,100.49
3774.00,100.46
3773.00,100.44
3772.00,100.44
3771.00,100.46
3770.00,100.46
3769.00,100.44
3768.00,100.42
3767.00,100.40
3766.00,100.40
3765.00,100.41
3764.00,100.44
3763.00,100.47
3762.00,100.49
3761.00,100.50
3760.00,100.48
3759.00,100.44
3758.00,100.38
3757.00,100.33
3756.00,100.29
3755.00,100.27
3754.00,100.27
3753.00,100.30
3752.00,100.34
3751.00,100.36
3750.00,100.35
3749.00,100.33
3748.00,100.31
3747.00,100.32
3746.00,100.33
3745.00,100.32
3744.00,100.29
3743.00,100.27
3742.00,100.29
3741.00,100.32
3740.00,100.35
3739.00,100.35
3738.00,100.32
3737.00,100.28
3736.00,100.26
3735.00,100.26
3734.00,100.28
3733.00,100.31
