Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
4000.00,98.65
3999.00,98.64
3998.00,98.62
3997.00,98.60
3996.00,98.59
3995.00,98.59
3994.00,98.60
3993.00,98.61
3992.00,98.61
3991.00,98.61
3990.00,98.61
3989.00,98.60
3988.00,98.60
3987.00,98.60
3986.00,98.61
3985.00,98.61
3984.00,98.60
3983.00,98.60
3982.00,98.59
3981.00,98.58
3980.00,98.58
3979.00,98.58
3978.00,98.58
3977.00,98.58
3976.00,98.58
3975.00,98.59
3974.00,98.61
3973.00,98.62
3972.00,98.63
3971.00,98.62
3970.00,98.61
3969.00,98.59
3968.00,98.58
3967.00,98.57
3966.00,98.57
3965.00,98.58
3964.00,98.60
3963.00,98.61
3962.00,98.62
3961.00,98.62
3960.00,98.62
3959.00,98.62
3958.00,98.63
3957.00,98.64
3956.00,98.63
3955.00,98.62
3954.00,98.60
3953.00,98.58
3952.00,98.58
3951.00,98.60
3950.00,98.62
3949.00,98.63
3948.00,98.62
3947.00,98.60
3946.00,98.59
3945.00,98.59
3944.00,98.60
3943.00,98.62
3942.00,98.62
3941.00,98.62
3940.00,98.62
3939.00,98.64
3938.00,98.65
3937.00,98.64
3936.00,98.62
3935.00,98.59
3934.00,98.58
3933.00,98.58
3932.00,98.59
3931.00,98.59
3930.00,98.59
3929.00,98.59
3928.00,98.59
3927.00,98.60
3926.00,98.61
3925.00,98.62
3924.00,98.61
3923.00,98.58
3922.00,98.56
3921.00,98.54
3920.00,98.53
3919.00,98.53
3918.00,98.54
3917.00,98.54
3916.00,98.56
3915.00,98.57
3914.00,98.58
3913.00,98.61
3912.00,98.64
3911.00,98.66
3910.00,98.66
3909.00,98.63
3908.00,98.59
3907.00,98.53
3906.00,98.47
3905.00,98.44
3904.00,98.43
3903.00,98.43
3902.00,98.42
3901.00,98.41
3900.00,98.42
3899.00,98.45
3898.00,98.48
3897.00,98.50
3896.00,98.51
3895.00,98.51
3894.00,98.51
3893.00,98.52
3892.00,98.53
3891.00,98.54
3890.00,98.53
3889.00,98.51
3888.00,98.51
3887.00,98.54
3886.00,98.58
3885.00,98.57
3884.00,98.52
3883.00,98.47
3882.00,98.46
3881.00,98.50
3880.00,98.54
3879.00,98.55
3878.00,98.52
3877.00,98.49
3876.00,98.50
3875.00,98.53
3874.00,98.54
3873.00,98.50
3872.00,98.42
3871.00,98.39
3870.00,98.40
3869.00,98.41
3868.00,98.40
3867.00,98.39
3866.00,98.41
3865.00,98.46
3864.00,98.47
3863.00,98.46
3862.00,98.45
3861.00,98.46
3860.00,98.49
3859.00,98.50
3858.00,98.48
3857.00,98.44
3856.00,98.42
3855.00,98.43
3854.00,98.46
3853.00,98.43
3852.00,98.39
3851.00,98.37
3850.00,98.40
3849.00,98.46
3848.00,98.51
3847.00,98.54
3846.00,98.55
3845.00,98.55
3844.00,98.56
3843.00,98.56
3842.00,98.54
3841.00,98.50
3840.00,98.45
3839.00,98.42
3838.00,98.39
3837.00,98.36
3836.00,98.34
3835.00,98.34
3834.00,98.37
3833.00,98.43
3832.00,98.50
3831.00,98.56
3830.00,98.58
3829.00,98.57
3828.00,98.56
3827.00,98.56
3826.00,98.56
3825.00,98.54
3824.00,98.49
3823.00,98.47
3822.00,98.47
3821.00,98.46
3820.00,98.40
3819.00,98.33
3818.00,98.31
3817.00,98.37
3816.00,98.47
3815.00,98.53
3814.00,98.54
3813.00,98.53
3812.00,98.52
3811.00,98.52
3810.00,98.50
3809.00,98.49
3808.00,98.50
3807.00,98.52
3806.00,98.51
3805.00,98.46
3804.00,98.40
3803.00,98.40
3802.00,98.45
3801.00,98.47
3800.00,98.46
3799.00,98.43
3798.00,98.43
3797.00,98.45
3796.00,98.47
3795.00,98.47
3794.00,98.46
3793.00,98.46
3792.00,98.49
3791.00,98.52
3790.00,98.56
3789.00,98.58
3788.00,98.60
3787.00,98.59
3786.00,98.58
3785.00,98.54
3784.00,98.50
3783.00,98.46
3782.00,98.44
3781.00,98.45
3780.00,98.49
3779.00,98.53
3778.00,98.53
3777.00,98.50
3776.00,98.48
3775.00,98.46
3774.00,98.45
3773.00,98.45
3772.00,98.46
3771.00,98.50
3770.00,98.52
3769.00,98.50
3768.00,98.47
3767.00,98.45
3766.00,98.46
3765.00,98.48
3764.00,98.48
3763.00,98.45
3762.00,98.44
3761.00,98.46
3760.00,98.48
3759.00,98.49
3758.00,98.48
3757.00,98.47
3756.00,98.44
3755.00,98.39
3754.00,98.34
3753.00,98.32
3752.00,98.31
3751.00,98.31
3750.00,98.30
3749.00,98.27
3748.00,98.22
3747.00,98.18
3746.00,98.21
3745.00,98.32
3744.00,98.39
3743.00,98.38
3742.00,98.33
3741.00,98.31
3740.00,98.33
3739.00,98.35
3738.00,98.36
3737.00,98.36
3736.00,98.36
3735.00,98.33
3734.00,98.29
3733.00,98.28
3732.00,98.31
3731.00,98.37
3730.00,98.42
3729.00,98.47
3728.00,98.52
3727.00,98.56
3726.00,98.55
3725.00,98.50
3724.00,98.45
3723.00,98.42
3722.00,98.42
3721.00,98.43
3720.00,98.44
3719.00,98.44
3718.00,98.45
3717.00,98.45
3716.00,98.44
3715.00,98.43
3714.00,98.42
3713.00,98.42
3712.00,98.41
3711.00,98.37
3710.00,98.35
3709.00,98.36
3708.00,98.39
3707.00,98.43
3706.00,98.46
3705.00,98.48
3704.00,98.48
3703.00,98.49
3702.00,98.49
3701.00,98.49
3700.00,98.49
3699.00,98.47
3698.00,98.45
3697.00,98.44
3696.00,98.41
3695.00,98.38
3694.00,98.35
3693.00,98.31
3692.00,98.27
3691.00,98.22
3690.00,98.19
3689.00,98.20
3688.00,98.24
3687.00,98.28
3686.00,98.30
3685.00,98.33
3684.00,98.36
3683.00,98.39
3682.00,98.41
3681.00,98.42
3680.00,98.40
3679.00,98.35
3678.00,98.27
3677.00,98.20
3676.00,98.19
3675.00,98.18
3674.00,98.15
3673.00,98.09
3672.00,98.05
