Created as New Dataset,13.1 Red Wool Navajo-Churro sheep 
cm-1,%T
4000.00,94.09
3999.00,94.09
3998.00,94.10
3997.00,94.10
3996.00,94.10
3995.00,94.10
3994.00,94.09
3993.00,94.09
3992.00,94.09
3991.00,94.10
3990.00,94.10
3989.00,94.11
3988.00,94.11
3987.00,94.11
3986.00,94.12
3985.00,94.11
3984.00,94.10
3983.00,94.08
3982.00,94.08
3981.00,94.08
3980.00,94.09
3979.00,94.09
3978.00,94.09
3977.00,94.08
3976.00,94.08
3975.00,94.08
3974.00,94.09
3973.00,94.09
3972.00,94.10
3971.00,94.11
3970.00,94.12
3969.00,94.11
3968.00,94.10
3967.00,94.09
3966.00,94.08
3965.00,94.08
3964.00,94.09
3963.00,94.10
3962.00,94.11
3961.00,94.11
3960.00,94.12
3959.00,94.13
3958.00,94.14
3957.00,94.15
3956.00,94.15
3955.00,94.15
3954.00,94.13
3953.00,94.11
3952.00,94.09
3951.00,94.08
3950.00,94.08
3949.00,94.09
3948.00,94.11
3947.00,94.12
3946.00,94.11
3945.00,94.11
3944.00,94.11
3943.00,94.11
3942.00,94.10
3941.00,94.10
3940.00,94.10
3939.00,94.10
3938.00,94.10
3937.00,94.11
3936.00,94.10
3935.00,94.09
3934.00,94.07
3933.00,94.07
3932.00,94.08
3931.00,94.10
3930.00,94.12
3929.00,94.12
3928.00,94.11
3927.00,94.10
3926.00,94.10
3925.00,94.11
3924.00,94.12
3923.00,94.12
3922.00,94.13
3921.00,94.14
3920.00,94.14
3919.00,94.15
3918.00,94.15
3917.00,94.15
3916.00,94.15
3915.00,94.14
3914.00,94.13
3913.00,94.12
3912.00,94.11
3911.00,94.10
3910.00,94.09
3909.00,94.09
3908.00,94.10
3907.00,94.12
3906.00,94.15
3905.00,94.18
3904.00,94.20
3903.00,94.19
3902.00,94.17
3901.00,94.15
3900.00,94.14
3899.00,94.14
3898.00,94.15
3897.00,94.16
3896.00,94.17
3895.00,94.16
3894.00,94.16
3893.00,94.18
3892.00,94.21
3891.00,94.22
3890.00,94.22
3889.00,94.20
3888.00,94.19
3887.00,94.16
3886.00,94.13
3885.00,94.11
3884.00,94.11
3883.00,94.13
3882.00,94.16
3881.00,94.18
3880.00,94.17
3879.00,94.14
3878.00,94.12
3877.00,94.10
3876.00,94.10
3875.00,94.10
3874.00,94.10
3873.00,94.11
3872.00,94.16
3871.00,94.20
3870.00,94.22
3869.00,94.20
3868.00,94.16
3867.00,94.14
3866.00,94.13
3865.00,94.14
3864.00,94.15
3863.00,94.15
3862.00,94.15
3861.00,94.15
3860.00,94.16
3859.00,94.19
3858.00,94.22
3857.00,94.22
3856.00,94.23
3855.00,94.24
3854.00,94.25
3853.00,94.24
3852.00,94.23
3851.00,94.22
3850.00,94.20
3849.00,94.18
3848.00,94.16
3847.00,94.14
3846.00,94.14
3845.00,94.14
3844.00,94.15
3843.00,94.16
3842.00,94.16
3841.00,94.17
3840.00,94.18
3839.00,94.18
3838.00,94.18
3837.00,94.17
3836.00,94.16
3835.00,94.15
3834.00,94.14
3833.00,94.15
3832.00,94.16
3831.00,94.18
3830.00,94.19
3829.00,94.19
3828.00,94.18
3827.00,94.17
3826.00,94.15
3825.00,94.13
