Created as New Dataset,13.2 Red Wool Polwarth sheep
cm-1,%T
4000.00,99.27
3999.00,99.26
3998.00,99.27
3997.00,99.28
3996.00,99.30
3995.00,99.31
3994.00,99.31
3993.00,99.31
3992.00,99.31
3991.00,99.31
3990.00,99.32
3989.00,99.32
3988.00,99.33
3987.00,99.33
3986.00,99.34
3985.00,99.34
3984.00,99.33
3983.00,99.31
3982.00,99.29
3981.00,99.28
3980.00,99.29
3979.00,99.30
3978.00,99.32
3977.00,99.33
3976.00,99.33
3975.00,99.30
3974.00,99.28
3973.00,99.26
3972.00,99.27
3971.00,99.29
3970.00,99.30
3969.00,99.31
3968.00,99.30
3967.00,99.29
3966.00,99.28
3965.00,99.28
3964.00,99.29
3963.00,99.29
3962.00,99.30
3961.00,99.30
3960.00,99.29
3959.00,99.28
3958.00,99.26
3957.00,99.25
3956.00,99.24
3955.00,99.23
3954.00,99.24
3953.00,99.25
3952.00,99.27
3951.00,99.30
3950.00,99.31
3949.00,99.32
3948.00,99.32
3947.00,99.32
3946.00,99.31
3945.00,99.30
3944.00,99.28
3943.00,99.27
3942.00,99.28
3941.00,99.30
3940.00,99.33
3939.00,99.35
3938.00,99.35
3937.00,99.33
3936.00,99.30
3935.00,99.29
3934.00,99.28
3933.00,99.28
3932.00,99.28
3931.00,99.27
3930.00,99.25
3929.00,99.23
3928.00,99.22
3927.00,99.21
3926.00,99.22
3925.00,99.25
3924.00,99.29
3923.00,99.31
3922.00,99.31
3921.00,99.29
3920.00,99.27
3919.00,99.26
3918.00,99.24
3917.00,99.24
3916.00,99.25
3915.00,99.26
3914.00,99.29
3913.00,99.32
3912.00,99.34
3911.00,99.34
3910.00,99.34
3909.00,99.34
3908.00,99.33
3907.00,99.32
3906.00,99.32
3905.00,99.31
3904.00,99.32
3903.00,99.34
3902.00,99.36
3901.00,99.38
3900.00,99.38
3899.00,99.36
3898.00,99.33
3897.00,99.29
3896.00,99.26
3895.00,99.25
3894.00,99.26
3893.00,99.28
3892.00,99.31
3891.00,99.33
3890.00,99.34
3889.00,99.34
3888.00,99.33
3887.00,99.31
3886.00,99.29
3885.00,99.27
3884.00,99.24
3883.00,99.20
3882.00,99.17
3881.00,99.17
3880.00,99.19
3879.00,99.23
3878.00,99.27
3877.00,99.31
3876.00,99.34
3875.00,99.35
3874.00,99.35
3873.00,99.34
3872.00,99.32
3871.00,99.31
3870.00,99.32
3869.00,99.34
3868.00,99.35
3867.00,99.34
3866.00,99.32
3865.00,99.32
3864.00,99.31
3863.00,99.30
3862.00,99.27
3861.00,99.25
3860.00,99.24
3859.00,99.25
3858.00,99.27
3857.00,99.30
3856.00,99.32
3855.00,99.32
3854.00,99.31
3853.00,99.32
3852.00,99.34
3851.00,99.35
3850.00,99.35
3849.00,99.33
3848.00,99.31
3847.00,99.30
3846.00,99.28
3845.00,99.28
3844.00,99.29
3843.00,99.30
3842.00,99.32
3841.00,99.34
3840.00,99.36
3839.00,99.37
3838.00,99.39
3837.00,99.40
3836.00,99.40
3835.00,99.38
3834.00,99.36
3833.00,99.33
3832.00,99.30
3831.00,99.28
3830.00,99.28
3829.00,99.29
3828.00,99.30
3827.00,99.30
3826.00,99.30
3825.00,99.30
3824.00,99.31
3823.00,99.32
3822.00,99.34
3821.00,99.36
3820.00,99.36
3819.00,99.35
3818.00,99.33
3817.00,99.31
3816.00,99.31
3815.00,99.32
3814.00,99.32
3813.00,99.32
3812.00,99.32
3811.00,99.32
3810.00,99.33
3809.00,99.34
3808.00,99.34
3807.00,99.34
3806.00,99.34
3805.00,99.34
3804.00,99.34
3803.00,99.34
3802.00,99.35
3801.00,99.35
3800.00,99.34
3799.00,99.32
3798.00,99.30
3797.00,99.27
3796.00,99.26
3795.00,99.25
3794.00,99.25
3793.00,99.27
3792.00,99.28
3791.00,99.29
3790.00,99.28
3789.00,99.26
3788.00,99.26
3787.00,99.26
3786.00,99.29
3785.00,99.31
3784.00,99.34
3783.00,99.35
3782.00,99.34
3781.00,99.32
3780.00,99.28
3779.00,99.25
3778.00,99.24
3777.00,99.24
3776.00,99.25
3775.00,99.26
3774.00,99.27
3773.00,99.28
3772.00,99.29
3771.00,99.30
3770.00,99.30
3769.00,99.29
3768.00,99.27
3767.00,99.26
3766.00,99.25
3765.00,99.25
3764.00,99.26
3763.00,99.26
3762.00,99.26
3761.00,99.24
3760.00,99.22
3759.00,99.19
3758.00,99.17
3757.00,99.17
3756.00,99.20
3755.00,99.24
3754.00,99.27
3753.00,99.30
3752.00,99.31
3751.00,99.30
3750.00,99.29
3749.00,99.28
3748.00,99.27
3747.00,99.27
3746.00,99.27
3745.00,99.29
3744.00,99.31
3743.00,99.32
3742.00,99.29
3741.00,99.26
3740.00,99.23
3739.00,99.22
3738.00,99.23
3737.00,99.24
3736.00,99.25
3735.00,99.25
3734.00,99.24
3733.00,99.22
3732.00,99.21
3731.00,99.21
3730.00,99.20
3729.00,99.18
3728.00,99.14
3727.00,99.09
3726.00,99.05
3725.00,99.04
3724.00,99.07
3723.00,99.12
3722.00,99.18
3721.00,99.21
3720.00,99.21
3719.00,99.19
3718.00,99.17
3717.00,99.14
3716.00,99.12
3715.00,99.10
3714.00,99.08
3713.00,99.06
3712.00,99.05
3711.00,99.03
3710.00,99.02
3709.00,99.02
3708.00,99.01
3707.00,98.99
3706.00,98.96
3705.00,98.93
3704.00,98.90
3703.00,98.88
3702.00,98.86
3701.00,98.83
3700.00,98.80
3699.00,98.78
3698.00,98.76
3697.00,98.76
3696.00,98.75
3695.00,98.75
3694.00,98.75
3693.00,98.76
3692.00,98.78
3691.00,98.80
3690.00,98.81
3689.00,98.83
3688.00,98.84
3687.00,98.86
3686.00,98.86
3685.00,98.84
3684.00,98.83
3683.00,98.81
3682.00,98.79
3681.00,98.77
3680.00,98.76
3679.00,98.76
3678.00,98.76
3677.00,98.76
3676.00,98.75
3675.00,98.73
3674.00,98.72
3673.00,98.70
3672.00,98.68
3671.00,98.65
3670.00,98.63
3669.00,98.60
3668.00,98.56
3667.00,98.52
3666.00,98.47
3665.00,98.42
3664.00,98.37
3663.00,98.32
3662.00,98.29
3661.00,98.29
3660.00,98.30
3659.00,98.31
3658.00,98.30
3657.00,98.26
3656.00,98.20
3655.00,98.14
3654.00,98.12
3653.00,98.12
3652.00,98.14
3651.00,98.15
3650.00,98.12
3649.00,98.04
3648.00,97.95
3647.00,97.86
3646.00,97.80
3645.00,97.78
3644.00,97.78
3643.00,97.79
3642.00,97.79
3641.00,97.77
3640.00,97.73
3639.00,97.70
3638.00,97.66
3637.00,97.63
3636.00,97.59
3635.00,97.55
3634.00,97.52
3633.00,97.50
3632.00,97.49
3631.00,97.46
3630.00,97.42
3629.00,97.35
3628.00,97.29
3627.00,97.25
3626.00,97.22
3625.00,97.19
3624.00,97.15
3623.00,97.12
3622.00,97.08
3621.00,97.05
3620.00,97.04
3619.00,97.03
3618.00,97.03
3617.00,97.04
3616.00,97.04
3615.00,97.02
3614.00,96.99
3613.00,96.95
3612.00,96.90
3611.00,96.86
3610.00,96.83
3609.00,96.80
3608.00,96.77
3607.00,96.74
3606.00,96.73
3605.00,96.73
3604.00,96.73
3603.00,96.72
3602.00,96.71
3601.00,96.69
3600.00,96.65
3599.00,96.60
3598.00,96.54
3597.00,96.49
3596.00,96.45
3595.00,96.43
3594.00,96.41
3593.00,96.40
3592.00,96.38
3591.00,96.37
3590.00,96.36
3589.00,96.34
3588.00,96.31
3587.00,96.26
3586.00,96.21
3585.00,96.17
3584.00,96.13
3583.00,96.08
3582.00,96.03
3581.00,95.98
3580.00,95.95
3579.00,95.95
3578.00,95.95
3577.00,95.94
3576.00,95.92
3575.00,95.88
3574.00,95.83
3573.00,95.78
3572.00,95.75
3571.00,95.71
3570.00,95.68
3569.00,95.65
3568.00,95.60
3567.00,95.54
3566.00,95.49
3565.00,95.44
3564.00,95.41
3563.00,95.38
3562.00,95.33
3561.00,95.28
3560.00,95.24
3559.00,95.21
3558.00,95.20
3557.00,95.19
3556.00,95.18
3555.00,95.15
3554.00,95.11
3553.00,95.05
3552.00,95.00
3551.00,94.96
3550.00,94.91
3549.00,94.86
3548.00,94.81
3547.00,94.76
3546.00,94.72
3545.00,94.68
3544.00,94.66
3543.00,94.64
3542.00,94.63
3541.00,94.61
3540.00,94.59
3539.00,94.56
3538.00,94.53
3537.00,94.49
3536.00,94.44
3535.00,94.39
3534.00,94.34
3533.00,94.31
3532.00,94.29
3531.00,94.27
3530.00,94.25
3529.00,94.23
3528.00,94.19
3527.00,94.14
3526.00,94.09
3525.00,94.04
3524.00,94.00
3523.00,93.97
3522.00,93.95
3521.00,93.94
3520.00,93.93
3519.00,93.91
3518.00,93.89
3517.00,93.86
3516.00,93.84
3515.00,93.81
3514.00,93.77
3513.00,93.73
3512.00,93.69
3511.00,93.66
3510.00,93.64
3509.00,93.62
3508.00,93.61
3507.00,93.58
3506.00,93.54
3505.00,93.48
3504.00,93.43
3503.00,93.40
3502.00,93.37
3501.00,93.35
3500.00,93.32
3499.00,93.29
3498.00,93.26
3497.00,93.22
