Created as New Dataset,13.3 Red Wool Romney sheep
cm-1,%T
4000.00,100.75
3999.00,100.76
3998.00,100.77
3997.00,100.77
3996.00,100.76
3995.00,100.75
3994.00,100.75
3993.00,100.75
3992.00,100.77
3991.00,100.78
3990.00,100.77
3989.00,100.74
3988.00,100.71
3987.00,100.68
3986.00,100.67
3985.00,100.69
3984.00,100.71
3983.00,100.73
3982.00,100.73
3981.00,100.72
3980.00,100.72
3979.00,100.72
3978.00,100.73
3977.00,100.74
3976.00,100.75
3975.00,100.76
3974.00,100.76
3973.00,100.75
3972.00,100.73
3971.00,100.71
3970.00,100.71
3969.00,100.71
3968.00,100.73
3967.00,100.73
3966.00,100.72
3965.00,100.71
3964.00,100.70
3963.00,100.69
3962.00,100.69
3961.00,100.70
3960.00,100.70
3959.00,100.71
3958.00,100.72
3957.00,100.74
3956.00,100.74
3955.00,100.74
3954.00,100.72
3953.00,100.71
3952.00,100.69
3951.00,100.68
3950.00,100.68
3949.00,100.70
3948.00,100.71
3947.00,100.72
3946.00,100.72
3945.00,100.71
3944.00,100.72
3943.00,100.73
3942.00,100.74
3941.00,100.73
3940.00,100.72
3939.00,100.72
3938.00,100.72
3937.00,100.73
3936.00,100.72
3935.00,100.71
3934.00,100.71
3933.00,100.72
3932.00,100.73
3931.00,100.73
3930.00,100.73
3929.00,100.73
3928.00,100.72
3927.00,100.72
3926.00,100.71
3925.00,100.70
3924.00,100.69
3923.00,100.67
3922.00,100.65
3921.00,100.64
3920.00,100.64
3919.00,100.65
3918.00,100.65
3917.00,100.66
3916.00,100.68
3915.00,100.69
3914.00,100.69
3913.00,100.69
3912.00,100.70
3911.00,100.71
3910.00,100.73
3909.00,100.73
3908.00,100.72
3907.00,100.69
3906.00,100.65
3905.00,100.63
3904.00,100.62
3903.00,100.61
3902.00,100.58
3901.00,100.56
3900.00,100.56
3899.00,100.59
3898.00,100.64
3897.00,100.68
3896.00,100.71
3895.00,100.73
3894.00,100.73
3893.00,100.72
